         13855081 function calls (12806659 primitive calls) in 12.104 seconds

   Ordered by: cumulative time
   List reduced from 20721 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.151    1.151 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\indices\__init__.py:1(<module>)
      258    0.009    0.000    1.098    0.004 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:1811(_call_schema)
5251/3040    0.025    0.000    1.091    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2015(_apply_annotations)
        1    0.000    0.000    1.084    1.084 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:34(initialize_indices)
        1    0.000    0.000    1.083    1.083 D:\PythonProject\kotaemon\libs\ktem\ktem\index\manager.py:179(on_application_startup)
        3    0.000    0.000    1.076    0.359 D:\PythonProject\kotaemon\libs\ktem\ktem\index\manager.py:95(start_index)
        1    0.000    0.000    1.052    1.052 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\chunk\__init__.py:1(<module>)
     2424    0.015    0.000    1.051    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:1521(_generate_parameter_schema)
        1    0.000    0.000    1.048    1.048 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\chunk\api.py:1(<module>)
        1    0.000    0.000    1.023    1.023 D:\PythonProject\kotaemon\libs\ktem\ktem\reasoning\prompt_optimization\__init__.py:1(<module>)


